transaction_id,user_id,account_age_days,total_transactions_user,avg_amount_user,amount,country,bin_country,channel,merchant_category,promo_used,avs_match,cvv_result,three_ds_flag,transaction_time,shipping_distance_km,is_fraud,country_match,hour,night_flag,log_amount,amount_ratio
200271,4011,1049,44,92.08,101.93,DE,DE,web,travel,0,1,1,1,2024-08-16 06:33:22+00:00,183.88,0,1,6,0,4.6340491455384685,1.106972186066766
51953,1043,85,57,264.72,137.51,IT,IT,app,travel,0,0,0,0,2024-10-02 19:13:19+00:00,287.67,1,1,19,0,4.930942525187008,0.5194545160189841
198807,3983,335,60,2104.97,2236.56,DE,DE,web,gaming,0,1,1,0,2024-04-11 00:43:18+00:00,421.52,0,1,0,1,7.713141265431935,1.062513954563479
224959,4508,1656,49,117.4,137.42,FR,FR,web,electronics,0,1,1,1,2024-10-10 21:13:57+00:00,97.91,0,1,21,0,4.930292541413717,1.1705280990585338
190352,3816,1604,44,14.98,14.34,RO,RO,web,gaming,0,1,1,1,2024-03-20 04:36:20+00:00,418.99,0,1,4,1,2.73046379593911,0.9572763045876966
143833,2886,972,52,54.61,15.98,TR,TR,app,grocery,1,1,1,0,2024-07-11 04:08:45+00:00,104.76,0,1,4,1,2.8320361808832013,0.2926203938359203
27006,543,1825,53,152.9,94.57,US,US,web,electronics,0,1,1,0,2024-04-18 22:08:01+00:00,256.08,0,1,22,1,4.559858963278089,0.6185088252550109
192997,3868,173,57,470.42,699.9,DE,DE,app,grocery,0,1,1,1,2024-04-02 02:30:47+00:00,200.86,0,1,2,1,6.552365223506279,1.4878193922711207
4601,93,17,45,44.61,25.57,FR,FR,web,electronics,0,1,1,1,2024-04-25 04:32:11+00:00,249.44,1,1,4,1,3.279782759771722,0.5731898548937491
118963,2384,1758,52,85.74,78.48,IT,IT,app,gaming,0,1,0,0,2024-02-02 09:57:38+00:00,36.61,0,1,9,0,4.375505417683616,0.9153253917036928
